system_id,vertcon_stats,difference_stats,location,metadata
5105700001,"{'mean_offset': 0.03825746000816489, 'std_offset': 0.0001924071276065493, 'min_offset': 0.03786994273989303, 'max_offset': 0.03874552757883978, 'valid_points': 907}","{'mean_diff': 0.0977303147738332, 'std_diff': 0.09472466495108345, 'min_diff': -0.21287408718347933, 'max_diff': 0.506607201939488}","{'latitude': 41.800997812187006, 'longitude': -92.06487872908434}",{}
2305340003,"{'mean_offset': -0.41513695061201905, 'std_offset': 9.969499234213083e-05, 'min_offset': -0.4152816497065014, 'max_offset': -0.41498913563098816, 'valid_points': 57}","{'mean_diff': -0.12074284232494392, 'std_diff': 0.514431882570503, 'min_diff': -1.1586364470697816, 'max_diff': 1.1670175364995146}","{'latitude': 39.978082518905524, 'longitude': -76.72448684551141}",{}
5205000122,"{'mean_offset': 0.7524228109530453, 'std_offset': 0.0005952113401214208, 'min_offset': 0.7519306369180758, 'max_offset': 0.7539301622039012, 'valid_points': 38}","{'mean_diff': 0.9257304932915594, 'std_diff': 0.19952389474200902, 'min_diff': 0.7931454858197196, 'max_diff': 1.7558751247607791}","{'latitude': 37.91924164267605, 'longitude': -121.27090951041755}",{}
5205000262,"{'mean_offset': 0.8737353156083976, 'std_offset': 0.001500125309140215, 'min_offset': 0.8709359223172343, 'max_offset': 0.8760041412206456, 'valid_points': 152}","{'mean_diff': nan, 'std_diff': nan, 'min_diff': nan, 'max_diff': nan}","{'latitude': 37.32903779503033, 'longitude': -120.39378572024917}",{}
4705000063,"{'mean_offset': -0.011665851938722445, 'std_offset': 0.00034094832970339646, 'min_offset': -0.012336021813689953, 'max_offset': -0.011099005103260961, 'valid_points': 537}","{'mean_diff': nan, 'std_diff': nan, 'min_diff': nan, 'max_diff': nan}","{'latitude': 42.1082886114065, 'longitude': -96.3078271307815}",{}
4705000001,"{'mean_offset': -0.008391581190380679, 'std_offset': 0.0011994221241417454, 'min_offset': -0.010062505174239803, 'max_offset': -0.0063474791005024974, 'valid_points': 474}","{'mean_diff': 0.09694376707570634, 'std_diff': 0.11001362468697254, 'min_diff': -0.21476020975097754, 'max_diff': 0.4888660832411915}","{'latitude': 42.22320161970502, 'longitude': -95.92130968367832}",{}
5505000324,"{'mean_offset': 0.6325880806994065, 'std_offset': 7.619339925499382e-05, 'min_offset': 0.6324717144847208, 'max_offset': 0.6327064865547054, 'valid_points': 1472}","{'mean_diff': 4.547509166317883, 'std_diff': 0.2125693808936402, 'min_diff': 4.00091033853517, 'max_diff': 4.905985278468896}","{'latitude': 48.0453762451456, 'longitude': -122.16563905158779}",{}
6005000023,"{'mean_offset': 0.6517738586192247, 'std_offset': 0.0010795896789764746, 'min_offset': 0.6494386960608297, 'max_offset': 0.6529283485523397, 'valid_points': 96}","{'mean_diff': nan, 'std_diff': nan, 'min_diff': nan, 'max_diff': nan}","{'latitude': 42.848099642146146, 'longitude': -112.43738362862659}",{}
5005000011,"{'mean_offset': 0.6803794078399058, 'std_offset': 0.00030625025049532803, 'min_offset': 0.6799783559532255, 'max_offset': 0.6809120044642669, 'valid_points': 417}","{'mean_diff': nan, 'std_diff': nan, 'min_diff': nan, 'max_diff': nan}","{'latitude': 46.12150817008237, 'longitude': -123.3006755551523}",{}
3605000066,"{'mean_offset': -0.04930362115854056, 'std_offset': 0.0003241919663393706, 'min_offset': -0.04968451054720256, 'max_offset': -0.0485884896842554, 'valid_points': 85}","{'mean_diff': nan, 'std_diff': nan, 'min_diff': nan, 'max_diff': nan}","{'latitude': 39.59278352531877, 'longitude': -97.39660032289969}",{}
